格点编号       	x坐标          	y坐标          	速度x          	速度y
1	0.000000E+00	0.000000E+00	0.000000E+00	-0.000000E+00
2	1.000000E+00	0.000000E+00	1.224647E-16	0.000000E+00
3	1.000000E+00	1.000000E+00	-1.224647E-16	1.224647E-16
4	0.000000E+00	1.000000E+00	-0.000000E+00	-1.224647E-16
5	5.000000E-01	5.000000E-01	6.123234E-17	-6.123234E-17
6	1.250000E-02	0.000000E+00	3.925982E-02	-0.000000E+00
7	2.500000E-02	0.000000E+00	7.845910E-02	-0.000000E+00
8	3.750000E-02	0.000000E+00	1.175374E-01	-0.000000E+00
9	5.000000E-02	0.000000E+00	1.564345E-01	-0.000000E+00
10	6.250000E-02	0.000000E+00	1.950903E-01	-0.000000E+00
11	7.500000E-02	0.000000E+00	2.334454E-01	-0.000000E+00
12	8.750000E-02	0.000000E+00	2.714404E-01	-0.000000E+00
13	1.000000E-01	0.000000E+00	3.090170E-01	-0.000000E+00
14	1.125000E-01	0.000000E+00	3.461171E-01	-0.000000E+00
15	1.250000E-01	0.000000E+00	3.826834E-01	-0.000000E+00
16	1.375000E-01	0.000000E+00	4.186597E-01	-0.000000E+00
17	1.500000E-01	0.000000E+00	4.539905E-01	-0.000000E+00
18	1.625000E-01	0.000000E+00	4.886212E-01	-0.000000E+00
19	1.750000E-01	0.000000E+00	5.224986E-01	-0.000000E+00
20	1.875000E-01	0.000000E+00	5.555702E-01	-0.000000E+00
21	2.000000E-01	0.000000E+00	5.877853E-01	-0.000000E+00
22	2.125000E-01	0.000000E+00	6.190939E-01	-0.000000E+00
23	2.250000E-01	0.000000E+00	6.494480E-01	-0.000000E+00
24	2.375000E-01	0.000000E+00	6.788007E-01	-0.000000E+00
25	2.500000E-01	0.000000E+00	7.071068E-01	-0.000000E+00
26	2.625000E-01	0.000000E+00	7.343225E-01	-0.000000E+00
27	2.750000E-01	0.000000E+00	7.604060E-01	-0.000000E+00
28	2.875000E-01	0.000000E+00	7.853169E-01	-0.000000E+00
29	3.000000E-01	0.000000E+00	8.090170E-01	-0.000000E+00
30	3.125000E-01	0.000000E+00	8.314696E-01	-0.000000E+00
31	3.250000E-01	0.000000E+00	8.526402E-01	-0.000000E+00
32	3.375000E-01	0.000000E+00	8.724960E-01	-0.000000E+00
33	3.500000E-01	0.000000E+00	8.910065E-01	-0.000000E+00
34	3.625000E-01	0.000000E+00	9.081432E-01	-0.000000E+00
35	3.750000E-01	0.000000E+00	9.238795E-01	-0.000000E+00
36	3.875000E-01	0.000000E+00	9.381913E-01	-0.000000E+00
37	4.000000E-01	0.000000E+00	9.510565E-01	-0.000000E+00
38	4.125000E-01	0.000000E+00	9.624552E-01	-0.000000E+00
39	4.250000E-01	0.000000E+00	9.723699E-01	-0.000000E+00
40	4.375000E-01	0.000000E+00	9.807853E-01	-0.000000E+00
41	4.500000E-01	0.000000E+00	9.876883E-01	-0.000000E+00
42	4.625000E-01	0.000000E+00	9.930685E-01	-0.000000E+00
43	4.750000E-01	0.000000E+00	9.969173E-01	-0.000000E+00
